,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon,rank,hand_num,gender_num,ioc_num
1921,110,54.54545454545454,50.70422535211267,39.0,61.53846153846154,1997.0,190.25,96.17,17.71,74.8371335504886,6.11,52.7,9.15,6.81,72.51,399.0,1,1,58
1922,262,48.473282442748086,51.13122171945701,41.0,34.14634146341464,1993.0,179.0,95.67147856517936,9.57,66.87483959277954,8.42,45.55,8.09,7.88,65.19,71.0,1,0,37
1923,146,54.7945205479452,54.7945205479452,0.0,0.0,1989.0,171.33333333333334,96.74905303030305,3.06,58.785343335256776,4.76,44.29,2.9,6.9,57.09,115.0,1,0,80
1924,38,57.89473684210527,20.0,33.0,63.63636363636363,2001.0,187.26666666666668,116.53977272727272,1.41,60.610328638497656,3.99,51.99,9.29,9.29,68.06,413.0,1,1,73
1925,52,32.69230769230769,34.0,2.0,0.0,1995.0,188.4,78.59831932773109,10.78,68.4235294117647,14.73,43.98,12.71,8.24,69.7,953.0,1,1,44
1926,16,12.5,12.5,0.0,0.0,2000.0,174.8,59.39285714285714,0.0,23.50746268656717,23.51,9.17,3.89,5.68,31.83,995.0,2,0,16
1927,294,52.38095238095239,53.58649789029536,57.0,47.368421052631575,1986.0,180.0,88.70097402597402,4.19,67.91007073088582,7.7,51.02,12.32,7.39,68.81,205.0,1,1,32
1928,95,51.578947368421055,53.16455696202531,16.0,43.75,1991.0,187.44,90.56188997338066,35.39,80.94900849858358,10.48,53.27,15.28,7.36,75.8,458.0,1,1,32
1929,41,39.02439024390244,39.02439024390244,0.0,0.0,1995.0,187.53125,92.7925,12.56,70.13574660633483,12.27,44.96,8.69,9.64,69.72,817.0,2,1,90
1930,29,31.03448275862069,31.03448275862069,0.0,0.0,1991.0,186.96153846153845,81.36666666666667,17.19,66.82653876898482,9.19,48.08,13.1,6.63,73.64,457.0,1,1,29
1931,18,22.22222222222222,22.22222222222222,0.0,0.0,1990.0,184.0,95.66071428571428,10.24,68.24925816023739,10.24,50.53,14.88,6.88,72.0,739.0,1,1,77
1932,158,62.65822784810127,62.65822784810127,0.0,0.0,1985.0,196.0,110.02876219825372,16.92,77.6117393645665,5.48,51.36,15.2,6.49,72.83,21.0,1,1,20
1933,76,43.42105263157895,44.0,1.0,0.0,1993.0,184.5,91.24806201550388,4.99,61.07298814722395,7.02,45.51,4.37,8.21,64.4,397.0,2,1,2
1934,88,65.9090909090909,66.66666666666666,67.0,65.67164179104478,2000.0,190.375,92.41206896551724,8.92,68.71940221592374,3.58,53.41,12.14,6.94,67.66,253.0,1,1,20
1935,115,63.47826086956522,40.0,95.0,68.42105263157895,1999.0,184.5,109.48760600130464,7.76,69.58188789483295,2.88,50.7,7.06,6.17,65.92,268.0,1,1,2
1936,14,42.85714285714285,42.85714285714285,0.0,0.0,1994.0,190.375,73.4375,11.01,75.04587155963303,8.81,48.54,13.01,8.44,70.65,599.0,2,1,20
1937,24,4.166666666666666,4.166666666666666,0.0,0.0,1981.0,191.1428571428572,104.52173913043478,7.78,66.83673469387756,21.81,41.01,12.75,12.05,74.97,,1,1,68
1938,126,41.26984126984127,41.935483870967744,2.0,0.0,1990.0,182.5,93.81548856548856,8.5,68.82369895725891,7.09,48.71,11.51,7.19,70.67,320.0,1,1,9
1939,20,30.0,30.0,0.0,0.0,1978.0,188.0,107.60714285714286,9.07,68.67239732569246,7.83,53.85,19.28,5.45,75.66,487.0,1,1,32
1940,272,59.55882352941176,60.5,72.0,56.94444444444444,1997.0,185.0,95.95869809203144,10.25,70.18458736859532,5.8,52.5,9.51,6.91,69.43,182.0,1,1,90
1941,183,46.99453551912568,49.68944099378882,22.0,27.27272727272727,1982.0,180.0,98.40116279069768,5.62,66.28504672897196,5.33,50.27,8.3,5.93,68.5,232.0,1,1,26
1942,114,46.49122807017544,46.0,14.0,50.0,1988.0,173.1818181818182,61.35957315187133,0.09,45.86086209481673,8.02,34.06,2.34,5.08,34.83,579.0,2,0,90
1943,55,36.36363636363637,37.03703703703704,1.0,0.0,1978.0,180.0,76.53214285714286,15.08,69.69849246231156,9.85,48.85,13.81,6.57,73.51,1274.0,1,1,43
1944,306,51.9607843137255,53.36134453781513,68.0,47.05882352941176,1993.0,186.96153846153845,95.524579643178,7.42,67.92201416649134,5.05,51.06,8.51,6.26,68.65,273.0,1,1,29
1945,14,21.428571428571427,21.428571428571427,0.0,0.0,1991.0,185.2,80.42424242424244,4.77,63.81578947368421,11.84,46.09,13.29,11.85,73.25,919.0,0,1,4
