,name,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2234,LUKAS RUEPKE,16,56.25,56.25,0.0,0.0,U,M,GER,1993.0,187.44,79.42857142857143,10.06,70.89783281733746,6.19,50.67,13.51,7.09,71.45
2235,LUKE BAMBRIDGE,71,43.66197183098591,44.285714285714285,1.0,0.0,R,M,GBR,1995.0,183.42857142857144,83.51370967741934,20.99,73.77468910021946,10.2,49.63,12.24,8.03,71.16
2236,LUKE SAVILLE,209,44.01913875598086,45.95959595959596,11.0,9.090909090909092,R,M,AUS,1994.0,187.07692307692307,94.16596989966555,11.39,69.30527722110888,9.47,49.93,10.23,6.85,69.57
2237,LUKSIKA KUMKHUM,187,64.1711229946524,64.1711229946524,0.0,0.0,R,F,THA,1993.0,172.13786827469158,73.88899253731344,2.49,55.48909632111702,8.42,45.71,3.73,7.39,52.17
2238,LULU RADOVCIC,123,65.04065040650406,60.317460317460316,60.0,70.0,U,F,SUI,2001.0,171.33333333333334,61.18517441860465,7.15,55.717092337917485,9.14,57.49,1.64,5.12,28.58
2243,LYNELLE EN TONG LIM,11,9.090909090909092,9.090909090909092,0.0,0.0,U,F,SGP,2001.0,172.13786827469158,61.1,0.0,23.094688221709006,18.24,31.25,1.83,8.96,46.23
2246,LYUDMYLA KICHENOK,30,30.0,32.142857142857146,2.0,0.0,R,F,UKR,1992.0,173.75,87.07936507936508,7.5,58.92575039494471,16.98,41.98,6.81,7.81,54.87
2247,MACIEJ RAJSKI,12,50.0,50.0,0.0,0.0,U,M,POL,1991.0,191.14285714285717,82.83333333333333,7.33,63.33411205809233,7.13,48.89,8.76,3.81,68.0
2248,MACKENZIE MCDONALD,276,56.15942028985508,54.54545454545454,89.0,59.55056179775281,R,M,USA,1995.0,187.53125,99.12330045321248,9.1,70.14123426466074,5.29,51.47,12.3,6.95,69.7
2250,MADDISON INGLIS,180,58.333333333333336,60.71428571428571,40.0,50.0,R,F,AUS,1998.0,171.0,67.47999999999999,3.59,55.70600795415762,6.48,42.09,3.9,6.81,48.73
2255,MADISON BRENGLE,287,54.70383275261324,55.55555555555556,62.0,51.61290322580645,R,F,USA,1990.0,173.1818181818182,78.02849093581578,0.48,57.30618995825881,5.21,40.36,4.32,7.95,58.66
2257,MADISON KEYS,215,64.65116279069767,67.22222222222223,35.0,51.42857142857142,R,F,USA,1995.0,178.0,89.90865202574783,11.89,69.27730022285897,4.93,48.12,3.31,8.05,62.81
2259,MADRIE LE ROUX,17,41.17647058823529,41.17647058823529,0.0,0.0,R,F,RSA,1995.0,172.13786827469158,64.15,1.07,38.3396130557343,3.2,36.02,0.22,0.32,7.54
2260,MAEGAN MANASSE,63,50.79365079365079,50.0,11.0,54.54545454545454,U,F,USA,1995.0,173.1818181818182,62.87096774193548,2.29,26.73338098641887,2.32,21.59,2.54,5.89,44.13
