,name,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2197,LUCA GIACOMINI,0.47058823529411764,17.0,0.47058823529411764,0.0,0.0,U,M,ITA,1998.0,185.7058823529412,104.13194444444444,1.54,0.5674822415153907,157.0,5.17,44.69,8.09,6.9,66.86
2198,LUCA MARGAROLI,0.4,85.0,0.4,0.0,0.0,R,M,SUI,1992.0,182.83333333333331,82.31372549019608,13.12,0.6151952163207879,491.0,6.85,49.0,9.34,8.15,71.56
2200,LUCA NARDI,0.25,0.0,0.0,20.0,0.25,R,M,ITA,2003.0,185.7058823529412,83.1,6.24,0.6121593291404612,124.0,6.01,49.91,10.48,5.7,72.29
2201,LUCA VANNI,0.5,200.0,0.505,32.0,0.46875,R,M,ITA,1985.0,185.7058823529412,97.5344827586207,21.12,0.639235166897348,1316.0,6.13,47.89,10.92,6.36,71.47
2202,LUCAS CATARINA,0.3404255319148936,30.0,0.3,17.0,0.4117647058823529,R,M,MON,1997.0,185.0,91.29939516129032,6.25,0.5786481364497789,358.0,8.37,50.95,10.01,7.56,68.9
2203,LUCAS GERCH,0.5454545454545454,19.0,0.5263157894736842,14.0,0.5714285714285714,U,M,GER,1995.0,187.44,94.87222222222222,9.94,0.6074561403508771,224.0,11.58,48.7,3.02,6.04,63.98
2204,LUCAS GOMEZ,0.3246753246753247,75.0,0.3333333333333333,2.0,0.0,U,M,MEX,1995.0,183.33333333333331,86.08615384615385,5.07,0.5848197343453511,576.0,7.95,46.96,19.19,8.43,72.44
2205,LUCAS MIEDLER,0.48704663212435234,149.0,0.5100671140939598,44.0,0.4090909090909091,R,M,AUT,1996.0,185.2,93.55539436922416,8.54,0.6144316452945012,1313.0,3.98,49.79,12.37,7.1,69.98
2206,LUCAS POUILLE,0.5668016194331984,219.0,0.593607305936073,28.0,0.35714285714285715,R,M,FRA,1994.0,185.0,109.91445260347129,16.35,0.6405929296543179,1684.0,7.9,51.22,13.58,5.75,72.35
2207,LUCAS RENARD,0.43478260869565216,23.0,0.43478260869565216,0.0,0.0,R,M,SWE,1992.0,185.33333333333331,92.59230769230768,9.09,0.555421686746988,212.0,12.83,44.97,5.39,6.84,66.32
